slice_family,slice,support_n,metric,value,overall_reference,absolute_delta,relative_delta,ci95_low,ci95_high,p_value,q_value,practical_significance,statistical_significance,designation
edge_density,mid,35,leaf_f1,0.8925198713281896,0.8452905700956604,0.04722930123252911,0.05587345098051222,0.8490679723631803,0.9290605445438629,0.017991004497751123,0.2154478316397357,False,False,headline
edge_density,high,35,leaf_f1,0.8018912217529094,0.8452905700956604,-0.043399348342751054,-0.05134252040436179,0.7368501865901504,0.8597449798714977,0.07546226886556721,0.46657921039480255,False,False,headline
foreground_density,low,37,leaf_f1,0.8084452945908054,0.8452905700956604,-0.03684527550485506,-0.04358888742918938,0.7330559374522224,0.8725247905665865,0.14992503748125938,0.765406770299061,False,False,headline
foreground_density,mid,34,leaf_f1,0.8763648385204602,0.8452905700956604,0.031074268424799767,0.036761640936421584,0.820810144920439,0.9265906817597063,0.1924037981009495,0.7679270121037043,False,False,headline
foreground_density,high,29,leaf_f1,0.8558681586210548,0.8452905700956604,0.010577588525394366,0.012513553208333217,0.7982630296556901,0.9117797057303896,0.6951524237881059,0.8082924829719972,False,False,headline
monetary_field_density,low,40,leaf_f1,0.839036716165851,0.8452905700956604,-0.006253853929809483,-0.00739846645763686,0.7718242380920731,0.8947118543428438,0.7886056971514243,0.831464702431393,False,False,headline
monetary_field_density,mid,31,leaf_f1,0.8367467100784783,0.8452905700956604,-0.008543860017182103,-0.010107601243221258,0.7711949974156834,0.8932636840907825,0.7361319340329835,0.8082924829719972,False,False,headline
monetary_field_density,high,29,leaf_f1,0.8630496672585922,0.8452905700956604,0.01775909716293178,0.02100945851190793,0.8012886222128108,0.9216939472517566,0.5132433783108445,0.7679270121037043,False,False,headline
total_amount,low,27,leaf_f1,0.8521122638147728,0.8452905700956604,0.006821693719112343,0.008070235207214414,0.7590757590842717,0.923300848544128,0.8455772113943029,0.8725637181409295,False,False,headline
total_amount,mid,31,leaf_f1,0.8737011881224405,0.8452905700956604,0.02841061802678002,0.03361047553572593,0.8217568747929279,0.9220889773309129,0.25337331334332835,0.7679270121037043,False,False,headline
total_amount,high,42,leaf_f1,0.8199354536850362,0.8452905700956604,-0.025355116410624268,-0.029995740290530936,0.7639664806842249,0.8700961072983867,0.23738130934532733,0.7679270121037043,False,False,headline
total_present,present,95,leaf_f1,0.856629749898266,0.8452905700956604,0.01133917980260557,0.013414534840158372,0.8225628646472731,0.8882755861948909,0.0769615192403798,0.46657921039480255,False,False,headline
total_present,absent,5,leaf_f1,0.6298461538461538,0.8452905700956604,-0.2154444162495066,-0.25487616196301,0.3,0.8373333333333332,0.06546726636681659,0.46657921039480255,True,False,insufficient-support
subtotal_present,present,65,leaf_f1,0.8509111873398331,0.8452905700956604,0.005620617244172621,0.006649331535233551,0.8109569416794619,0.888509162763936,0.7116441779110445,0.8082924829719972,False,False,headline
subtotal_present,absent,35,leaf_f1,0.8348522809279112,0.8452905700956604,-0.010438289167749248,-0.012348758565433849,0.7526825223873544,0.9046435560704469,0.7191404297851074,0.8082924829719972,False,False,headline
tax_present,present,43,leaf_f1,0.8384495143545261,0.8452905700956604,-0.006841055741134361,-0.00809314096614158,0.786368253471795,0.8852525432678799,0.7416291854072964,0.8082924829719972,False,False,headline
tax_present,absent,57,leaf_f1,0.8504513665319546,0.8452905700956604,0.0051607964362941905,0.006105351956913644,0.7981778293706369,0.8968993177876557,0.728135932033983,0.8082924829719972,False,False,headline
discount_present,present,10,leaf_f1,0.7634748623363424,0.8452905700956604,-0.08181570775931801,-0.09679003960739682,0.6224908044025691,0.8891935839303011,0.20839580209895053,0.7679270121037043,True,False,exploratory
discount_present,absent,90,leaf_f1,0.8543812042911402,0.8452905700956604,0.00909063419547973,0.010754448845266254,0.8162745752146437,0.8880051265474062,0.20739630184907545,0.7679270121037043,False,False,headline
simple_vs_multi_line_item,simple,39,leaf_f1,0.8824144349031227,0.8452905700956604,0.037123864807462215,0.043918465579547344,0.8356459879989293,0.9229500805462341,0.07296351824087956,0.46657921039480255,False,False,headline
simple_vs_multi_line_item,multi,61,leaf_f1,0.821555640136791,0.8452905700956604,-0.02373492995886939,-0.02807901897708777,0.7686660000623416,0.8701532211879357,0.08295852073963018,0.47335155951436053,False,False,headline
ground_truth_leaf_count,low,38,total_exact,0.9736842105263158,0.9894736842105263,-0.015789473684210464,-0.015957446808510575,0.8650512388404832,0.995339412314231,0.6216891554222889,0.7679270121037043,False,False,headline
ground_truth_leaf_count,mid,26,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.871271078140791,1.0,0.6406796601699151,0.7679270121037043,False,False,headline
ground_truth_leaf_count,high,31,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.8897446045395695,1.0,0.6371814092953523,0.7679270121037043,False,False,headline
line_item_count,low,79,total_exact,0.9873417721518988,0.9894736842105263,-0.0021319120586275053,-0.0021545919741448195,0.9317242812303429,0.99776200614495,0.6226886556721639,0.7679270121037043,False,False,headline
line_item_count,mid,5,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.5655175352168389,1.0,0.6491754122938531,0.7679270121037043,False,False,insufficient-support
line_item_count,high,11,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.7411670330319788,1.0,0.6206896551724138,0.7679270121037043,False,False,exploratory
ocr_token_count,low,29,total_exact,0.9655172413793104,0.9894736842105263,-0.023956442831215896,-0.024211298606016066,0.8282447812068028,0.9938867857072371,0.6391804097951025,0.7679270121037043,False,False,headline
ocr_token_count,mid,36,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.9035813714055411,0.9999999999999999,0.6211894052973513,0.7679270121037043,False,False,headline
ocr_token_count,high,30,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.8864866068260369,1.0,0.6446776611694153,0.7679270121037043,False,False,headline
document_text_length,low,25,total_exact,0.96,0.9894736842105263,-0.02947368421052632,-0.029787234042553196,0.8045593626380687,0.9929037664980125,0.4147926036981509,0.7679270121037043,False,False,headline
document_text_length,mid,38,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.9081901317744205,1.0,0.4407796101949025,0.7679270121037043,False,False,headline
document_text_length,high,32,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.8928208017449346,1.0,0.4387806096951524,0.7679270121037043,False,False,headline
image_megapixels,low,69,total_exact,0.9855072463768116,0.9894736842105263,-0.003966437833714642,-0.0040086339808818195,0.9223687753885557,0.9974370753554116,0.6331834082958521,0.7679270121037043,False,False,headline
image_megapixels,mid,3,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.4385029682449681,1.0,0.44877561219390305,0.7679270121037043,False,False,insufficient-support
image_megapixels,high,23,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.8568833815495799,0.9999999999999999,0.6286856571714143,0.7679270121037043,False,False,headline
text_density_tokens_per_megapixel,low,29,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.883030201500265,1.0,0.6196901549225388,0.7679270121037043,False,False,headline
text_density_tokens_per_megapixel,mid,30,total_exact,0.9666666666666667,0.9894736842105263,-0.02280701754385961,-0.023049645390070882,0.8332960900859135,0.9940914096183872,0.6141929035482259,0.7679270121037043,False,False,headline
text_density_tokens_per_megapixel,high,36,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.9035813714055411,0.9999999999999999,0.6266866566716641,0.7679270121037043,False,False,headline
blur,low,33,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.8957300024575532,1.0,0.617191404297851,0.7679270121037043,False,False,headline
blur,mid,26,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.871271078140791,1.0,0.6176911544227887,0.7679270121037043,False,False,headline
blur,high,36,total_exact,0.9722222222222222,0.9894736842105263,-0.017251461988304073,-0.01743498817966901,0.8583028134672659,0.9950795928601892,0.6271864067966016,0.7679270121037043,False,False,headline
contrast,low,34,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.8984854458466813,1.0,0.6216891554222889,0.7679270121037043,False,False,headline
contrast,mid,27,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.875444970258139,1.0000000000000002,0.6211894052973513,0.7679270121037043,False,False,headline
contrast,high,34,total_exact,0.9705882352941176,0.9894736842105263,-0.018885448916408643,-0.019086357947434268,0.8508442670731458,0.9947890937237309,0.6341829085457271,0.7679270121037043,False,False,headline
luminance,low,30,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.8864866068260369,1.0,0.6426786606696652,0.7679270121037043,False,False,headline
luminance,mid,39,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.9103331462924331,1.0,0.4527736131934033,0.7679270121037043,False,False,headline
luminance,high,26,total_exact,0.9615384615384616,0.9894736842105263,-0.02793522267206472,-0.0282324058919803,0.8110722109696584,0.9931780150064562,0.6286856571714143,0.7679270121037043,False,False,headline
edge_density,low,29,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.883030201500265,1.0,0.6381809095452274,0.7679270121037043,False,False,headline
edge_density,mid,33,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.8957300024575532,1.0,0.617191404297851,0.7679270121037043,False,False,headline
edge_density,high,33,total_exact,0.9696969696969697,0.9894736842105263,-0.01977671451355656,-0.019987105093488014,0.846812746178816,0.994630589463128,0.6221889055472264,0.7679270121037043,False,False,headline
foreground_density,low,33,total_exact,0.9696969696969697,0.9894736842105263,-0.01977671451355656,-0.019987105093488014,0.846812746178816,0.994630589463128,0.6141929035482259,0.7679270121037043,False,False,headline
foreground_density,mid,33,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.8957300024575532,1.0,0.6116941529235382,0.7679270121037043,False,False,headline
foreground_density,high,29,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.883030201500265,1.0,0.6166916541729135,0.7679270121037043,False,False,headline
monetary_field_density,low,39,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.9103331462924331,1.0,0.42628685657171417,0.7679270121037043,False,False,headline
