slice_family,slice,support_n,metric,value,overall_reference,absolute_delta,relative_delta,ci95_low,ci95_high,p_value,q_value,practical_significance,statistical_significance,designation
contrast,low,34,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.8984854458466813,1.0,0.6216891554222889,0.7679270121037043,False,False,headline
contrast,mid,27,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.875444970258139,1.0000000000000002,0.6211894052973513,0.7679270121037043,False,False,headline
contrast,high,34,total_exact,0.9705882352941176,0.9894736842105263,-0.018885448916408643,-0.019086357947434268,0.8508442670731458,0.9947890937237309,0.6341829085457271,0.7679270121037043,False,False,headline
luminance,low,30,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.8864866068260369,1.0,0.6426786606696652,0.7679270121037043,False,False,headline
luminance,mid,39,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.9103331462924331,1.0,0.4527736131934033,0.7679270121037043,False,False,headline
luminance,high,26,total_exact,0.9615384615384616,0.9894736842105263,-0.02793522267206472,-0.0282324058919803,0.8110722109696584,0.9931780150064562,0.6286856571714143,0.7679270121037043,False,False,headline
edge_density,low,29,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.883030201500265,1.0,0.6381809095452274,0.7679270121037043,False,False,headline
edge_density,mid,33,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.8957300024575532,1.0,0.617191404297851,0.7679270121037043,False,False,headline
edge_density,high,33,total_exact,0.9696969696969697,0.9894736842105263,-0.01977671451355656,-0.019987105093488014,0.846812746178816,0.994630589463128,0.6221889055472264,0.7679270121037043,False,False,headline
foreground_density,low,33,total_exact,0.9696969696969697,0.9894736842105263,-0.01977671451355656,-0.019987105093488014,0.846812746178816,0.994630589463128,0.6141929035482259,0.7679270121037043,False,False,headline
foreground_density,mid,33,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.8957300024575532,1.0,0.6116941529235382,0.7679270121037043,False,False,headline
foreground_density,high,29,total_exact,1.0,0.9894736842105263,0.010526315789473717,0.010638297872340458,0.883030201500265,1.0,0.6166916541729135,0.7679270121037043,False,False,headline
