policy,coverage,selective_risk
calibrated_confidence,0.38,0.3684210526315789
calibrated_confidence,0.39,0.38461538461538464
calibrated_confidence,0.4,0.4
calibrated_confidence,0.41,0.3902439024390244
calibrated_confidence,0.42,0.38095238095238093
calibrated_confidence,0.43,0.3953488372093023
calibrated_confidence,0.44,0.38636363636363635
calibrated_confidence,0.45,0.37777777777777777
calibrated_confidence,0.46,0.3695652173913043
calibrated_confidence,0.47,0.3829787234042553
calibrated_confidence,0.48,0.3958333333333333
calibrated_confidence,0.49,0.3877551020408163
calibrated_confidence,0.5,0.4
calibrated_confidence,0.51,0.4117647058823529
calibrated_confidence,0.52,0.4230769230769231
calibrated_confidence,0.53,0.4339622641509434
calibrated_confidence,0.54,0.4444444444444444
calibrated_confidence,0.55,0.43636363636363634
calibrated_confidence,0.56,0.44642857142857145
calibrated_confidence,0.57,0.43859649122807015
calibrated_confidence,0.58,0.4482758620689655
calibrated_confidence,0.59,0.4576271186440678
calibrated_confidence,0.6,0.4666666666666667
calibrated_confidence,0.61,0.47540983606557374
calibrated_confidence,0.62,0.4838709677419355
calibrated_confidence,0.63,0.49206349206349204
calibrated_confidence,0.64,0.5
calibrated_confidence,0.65,0.5076923076923077
calibrated_confidence,0.66,0.5151515151515151
calibrated_confidence,0.67,0.5223880597014925
calibrated_confidence,0.68,0.5147058823529411
calibrated_confidence,0.69,0.5217391304347826
calibrated_confidence,0.7,0.5285714285714286
calibrated_confidence,0.71,0.5211267605633803
calibrated_confidence,0.72,0.5277777777777778
calibrated_confidence,0.73,0.5342465753424658
calibrated_confidence,0.74,0.5405405405405406
calibrated_confidence,0.75,0.5466666666666666
calibrated_confidence,0.76,0.5394736842105263
calibrated_confidence,0.77,0.5454545454545454
calibrated_confidence,0.78,0.5512820512820513
calibrated_confidence,0.79,0.5569620253164557
calibrated_confidence,0.8,0.5625
calibrated_confidence,0.81,0.5679012345679012
calibrated_confidence,0.82,0.573170731707317
calibrated_confidence,0.83,0.5783132530120482
calibrated_confidence,0.84,0.5833333333333334
calibrated_confidence,0.85,0.5882352941176471
calibrated_confidence,0.86,0.5930232558139535
