document_id,corruption,severity,critical_content_presence_recall,critical_proxy_error,leaf_f1,risk_score,analysis_scope,risk_increase_from_source_clean
cord-v2-validation-00007,rotation,high,1.0,0,0.7368421052631577,0.7032395642690323,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00007,downsampling,low,1.0,0,0.8571428571428572,0.7032395642690323,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00007,downsampling,high,1.0,0,0.761904761904762,0.7032395642690323,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00007,jpeg,low,1.0,0,0.8571428571428572,0.7032395642690323,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00007,jpeg,high,1.0,0,0.631578947368421,0.7032395642690323,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00007,contrast,low,1.0,0,0.8571428571428572,0.7032395642690323,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00007,contrast,high,0.6,1,0.5263157894736842,0.7032395642690323,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00007,occlusion,low,1.0,0,0.8571428571428572,0.7032395642690323,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00007,occlusion,high,1.0,0,0.5,0.7032395642690323,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00013,clean,clean,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00013,gaussian_blur,low,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00013,gaussian_blur,high,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00013,rotation,low,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00013,rotation,high,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00013,downsampling,low,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00013,downsampling,high,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
cord-v2-validation-00013,jpeg,low,1.0,0,1.0,0.19426202330867598,RISK_SENSITIVITY_PROXY_NOT_END_TO_END_INFERENCE,0.0
